frequency_ghz,s21_db,s11_db
5.000000000000000000e+00,-8.359709264787851257e-02,-1.719114092828981910e+01
5.250000000000000000e+00,-9.183465836610109345e-02,-1.679058094685434810e+01
5.500000000000000000e+00,-1.003765582179634713e-01,-1.641096637612199771e+01
5.750000000000000000e+00,-1.092137127244807437e-01,-1.605046973005118005e+01
6.000000000000000000e+00,-1.183376808025210503e-01,-1.570751385936631550e+01
6.250000000000000000e+00,-1.277399564940976673e-01,-1.538072488147453853e+01
6.500000000000000000e+00,-1.374115616235549175e-01,-1.506889594455579129e+01
6.750000000000000000e+00,-1.473428667716836782e-01,-1.477095919680458636e+01
7.000000000000000000e+00,-1.575235614144291363e-01,-1.448596390903970033e+01
7.250000000000000000e+00,-1.679427060977620734e-01,-1.421305914264567605e+01
7.500000000000000000e+00,-1.785888184063137707e-01,-1.395147981695912698e+01
7.750000000000000000e+00,-1.894499685402842581e-01,-1.370053529072652054e+01
8.000000000000000000e+00,-2.005138672573833214e-01,-1.345959987906498867e+01
8.250000000000000000e+00,-2.117679431628114450e-01,-1.322810488066340895e+01
8.500000000000000000e+00,-2.226802628861141997e-01,-1.300874057133617967e+01
8.750000000000000000e+00,-2.342567750501708679e-01,-1.279447845500662950e+01
9.000000000000000000e+00,-2.459847835732768551e-01,-1.258822940685007197e+01
9.250000000000000000e+00,-2.578511540743821384e-01,-1.238959390172414743e+01
9.500000000000000000e+00,-2.698427434777623812e-01,-1.219820374132465801e+01
9.750000000000000000e+00,-2.819464114749977712e-01,-1.201371878117025283e+01
1.000000000000000000e+01,-2.941490348862099702e-01,-1.183582407353809707e+01
